,energy_per_atom,O_concentration,C-O-H_C-sp1-H:mean_value,ether_concentration,H-O_coordination_number,O_n12_m2,prox_Ixx_ether_area,norm_density_ether_std,sp2-like_n11_m3,max_bond_angle
153,-44.32630552325582,0.1162791,107.38,0.12195122,0.42,0.012,4.590475538,0.032683787,0.0,123.94
154,-44.31633401162791,0.1162791,107.37,0.12195122,0.42,0.041,1.734238909,0.042337456,0.0,131.14
155,-44.314522674418605,0.1162791,107.38,0.12195122,0.42,0.009,3.389631935,0.031926337,0.0,123.96
156,-44.331126162790696,0.1162791,107.32,0.12195122,0.42,0.032,3.304012947,0.039211003,0.009,124.19
157,-44.32547877906977,0.1162791,106.89,0.12195122,0.42,0.023,6.497608893,0.036291063,0.02,125.07
158,-44.32334215116279,0.1162791,107.52,0.12195122,0.42,0.023,1.686046589,0.035977181,0.0,127.0
159,-44.31274854651163,0.1162791,107.16,0.12195122,0.42,0.012,4.080786699,0.033795969,0.0,126.53
160,-44.31853691860465,0.1162791,107.43,0.12195122,0.42,0.052,2.723792632,0.047601165,0.009,128.09
161,-44.30388401162791,0.1162791,107.08,0.12195122,0.42,0.038,2.822257826,0.04110573,0.0,129.84
162,-44.31521773255814,0.1162791,107.0,0.12195122,0.42,0.032,4.411164869,0.040528466,0.0,125.1
163,-44.33807965116279,0.1162791,107.24,0.12195122,0.42,0.026,3.763067531,0.036739356,0.009,126.23
164,-44.32780843023256,0.1162791,107.1,0.12195122,0.42,0.032,2.895462063,0.037054152,0.006,132.71
165,-44.32122645348837,0.1162791,107.09,0.12195122,0.42,0.032,1.722907739,0.037148529,0.006,123.6
166,-44.31075058139535,0.1162791,107.09,0.12195122,0.42,0.032,0.657550052,0.040032722,0.012,132.43
167,-44.33012063953488,0.1162791,107.33,0.12195122,0.42,0.015,4.489159373,0.034124492,0.0,124.58
168,-44.33155581395349,0.1162791,107.06,0.12195122,0.42,0.017,5.773012012,0.042424506,0.0,126.25
169,-44.30210639534884,0.1162791,107.16,0.12195122,0.42,0.029,2.319319404,0.038327227,0.0,132.69
170,-44.32572877906977,0.1162791,107.15,0.12195122,0.42,0.026,6.366782586,0.043527719,0.0,131.9
171,-44.32188662790698,0.1162791,107.05,0.12195122,0.42,0.032,2.846115747,0.040056606,0.0,123.58
172,-44.332192441860464,0.1162791,107.09,0.12195122,0.42,0.012,2.002093536,0.034412247,0.003,123.79
173,-44.32548081395348,0.1162791,107.45,0.12195122,0.42,0.035,4.437671077,0.03849656,0.0,124.69
174,-44.31054418604651,0.1162791,107.17,0.12195122,0.42,0.015,6.497117745,0.035814525,0.0,127.56
175,-44.31885261627907,0.1162791,107.22,0.12195122,0.42,0.009,4.511790798,0.031570596,0.0,130.98
176,-44.338197093023254,0.1162791,107.5,0.12195122,0.42,0.02,3.631457951,0.037992422,0.0,128.2
177,-44.329577906976745,0.1162791,107.37,0.12195122,0.42,0.029,4.204783747,0.039732244,0.009,129.61
178,-44.319978488372094,0.1162791,107.23,0.12195122,0.42,0.029,3.255585367,0.037758692,0.0,125.61
179,-44.312016279069766,0.1162791,107.13,0.12195122,0.42,0.026,3.592151676,0.037211061,0.0,126.57
180,-44.32470145348837,0.1162791,107.07,0.12195122,0.42,0.0,5.671601918,0.034530203,0.003,131.36
181,-44.31522936046511,0.1162791,107.13,0.12195122,0.42,0.015,5.303988262,0.034634672,0.006,125.71
182,-44.33484360465116,0.1162791,107.44,0.12195122,0.42,0.047,2.703358924,0.041927911,0.009,124.66
183,-44.321988372093024,0.1162791,106.99,0.12195122,0.42,0.052,3.523541396,0.043532081,0.023,123.49
184,-44.32305552325582,0.1162791,107.03,0.12195122,0.42,0.015,3.710189973,0.035907772,0.02,124.02
185,-44.32444825581395,0.1162791,107.0,0.12195122,0.42,0.015,2.995917021,0.033592452,0.006,124.93
186,-44.31622441860465,0.1162791,107.45,0.12195122,0.42,0.032,2.891967008,0.037410731,0.006,128.06
187,-44.32494534883721,0.1162791,107.0,0.12195122,0.42,0.023,4.404779281,0.037751831,0.0,131.99
188,-44.332805523255814,0.1162791,107.31,0.12195122,0.42,0.035,3.540086457,0.040061386,0.0,131.98
189,-44.40127741935484,0.1143695,107.42,0.135802469,0.4,0.023,5.446024559,0.037415708,0.0,130.25
190,-44.329927325581394,0.1162791,107.22,0.12195122,0.42,0.02,4.93400023,0.036548383,0.0,131.82
191,-44.329476453488375,0.1162791,107.41,0.12195122,0.42,0.026,4.438470854,0.036956162,0.009,126.94
192,-44.335407558139536,0.1162791,107.15,0.12195122,0.42,0.026,4.152776871,0.03707332,0.0,124.87
193,-44.32664854651163,0.1162791,107.12,0.12195122,0.42,0.026,4.198975028,0.037813194,0.0,126.04
194,-44.31445872093023,0.1162791,106.8,0.12195122,0.42,0.017,4.693822236,0.034084782,0.0,124.45
195,-44.328538953488376,0.1162791,107.41,0.12195122,0.42,0.02,5.026011057,0.035462041,0.0,125.58
196,-44.34038720930232,0.1162791,107.31,0.12195122,0.42,0.044,2.58829664,0.040772624,0.02,125.97
197,-44.33302441860465,0.1162791,107.6,0.12195122,0.42,0.02,1.546118758,0.041055506,0.0,135.23
198,-44.33763546511628,0.1162791,107.31,0.12195122,0.42,0.009,3.768626706,0.031913698,0.003,133.21
199,-44.30605348837209,0.1162791,107.09,0.12195122,0.42,0.023,3.364552405,0.03637205,0.0,129.9
200,-44.32150697674419,0.1162791,107.22,0.12195122,0.42,0.015,3.123381053,0.034654962,0.0,125.5
201,-44.33509389534884,0.1162791,107.33,0.12195122,0.42,0.026,3.397154754,0.037826439,0.015,127.56
202,-44.32977412790698,0.1162791,107.46,0.12195122,0.42,0.02,3.084240108,0.034231961,0.0,125.38
203,-44.329456104651165,0.1162791,107.17,0.12195122,0.42,0.052,1.468925982,0.042857843,0.041,124.95
204,-44.315590988372094,0.1162791,107.55,0.12195122,0.42,0.026,4.558431796,0.04100006,0.0,134.77
205,-44.33655029069768,0.1162791,107.33,0.12195122,0.42,0.003,5.501698236,0.0336184,0.0,127.45
206,-44.301217441860466,0.1162791,106.77,0.12195122,0.42,0.041,5.012863509,0.040037498,0.003,125.85
207,-44.32325436046512,0.1162791,107.26,0.12195122,0.42,0.038,4.349067131,0.041449888,0.023,131.85
208,-44.328898255813954,0.1162791,107.16,0.12195122,0.42,0.015,4.214266931,0.037268724,0.003,124.09
209,-44.32473284883721,0.1162791,107.26,0.12195122,0.42,0.012,5.05958149,0.033472542,0.0,126.65
210,-44.31899563953488,0.1162791,107.39,0.12195122,0.42,0.032,4.694687143,0.042315286,0.012,126.75
211,-44.32135290697675,0.1162791,107.01,0.12195122,0.42,0.032,3.452423693,0.040648184,0.006,126.54
212,-44.32209127906977,0.1162791,107.29,0.12195122,0.42,0.02,5.48035736,0.03749487,0.0,130.14
213,-44.31857093023256,0.1162791,107.21,0.12195122,0.42,0.015,3.737276988,0.036626696,0.0,131.26
